training with model_path ./checkpoint/resnet18_SSL_reinforcement_0417.pth
Device: cuda
Number of train images is 20000
Number of val images is 5000

[1/40] Train batch: 1 / 78
[1/40] Train batch: 2 / 78
[1/40] Train batch: 3 / 78
[1/40] Train batch: 4 / 78
[1/40] Train batch: 5 / 78
[1/40] Train batch: 6 / 78
[1/40] Train batch: 7 / 78
[1/40] Train batch: 8 / 78
[1/40] Train batch: 9 / 78
[1/40] Train batch: 10 / 78
[1/40] Train batch: 11 / 78
[1/40] Train batch: 12 / 78
[1/40] Train batch: 13 / 78
[1/40] Train batch: 14 / 78
[1/40] Train batch: 15 / 78
[1/40] Train batch: 16 / 78
[1/40] Train batch: 17 / 78
[1/40] Train batch: 18 / 78
[1/40] Train batch: 19 / 78
[1/40] Train batch: 20 / 78
[1/40] Train batch: 21 / 78
[1/40] Train batch: 22 / 78
[1/40] Train batch: 23 / 78
[1/40] Train batch: 24 / 78
[1/40] Train batch: 25 / 78
[1/40] Train batch: 26 / 78
[1/40] Train batch: 27 / 78
[1/40] Train batch: 28 / 78
[1/40] Train batch: 29 / 78
[1/40] Train batch: 30 / 78
[1/40] Train batch: 31 / 78
[1/40] Train batch: 32 / 78
[1/40] Train batch: 33 / 78
[1/40] Train batch: 34 / 78
[1/40] Train batch: 35 / 78
[1/40] Train batch: 36 / 78
[1/40] Train batch: 37 / 78
[1/40] Train batch: 38 / 78
[1/40] Train batch: 39 / 78
[1/40] Train batch: 40 / 78
[1/40] Train batch: 41 / 78
[1/40] Train batch: 42 / 78
[1/40] Train batch: 43 / 78
[1/40] Train batch: 44 / 78
[1/40] Train batch: 45 / 78
[1/40] Train batch: 46 / 78
[1/40] Train batch: 47 / 78
[1/40] Train batch: 48 / 78
[1/40] Train batch: 49 / 78
[1/40] Train batch: 50 / 78
[1/40] Train batch: 51 / 78
[1/40] Train batch: 52 / 78
[1/40] Train batch: 53 / 78
[1/40] Train batch: 54 / 78
[1/40] Train batch: 55 / 78
[1/40] Train batch: 56 / 78
[1/40] Train batch: 57 / 78
[1/40] Train batch: 58 / 78
[1/40] Train batch: 59 / 78
[1/40] Train batch: 60 / 78
[1/40] Train batch: 61 / 78
[1/40] Train batch: 62 / 78
[1/40] Train batch: 63 / 78
[1/40] Train batch: 64 / 78
[1/40] Train batch: 65 / 78
[1/40] Train batch: 66 / 78
[1/40] Train batch: 67 / 78
[1/40] Train batch: 68 / 78
[1/40] Train batch: 69 / 78
[1/40] Train batch: 70 / 78
[1/40] Train batch: 71 / 78
[1/40] Train batch: 72 / 78
[1/40] Train batch: 73 / 78
[1/40] Train batch: 74 / 78
[1/40] Train batch: 75 / 78
[1/40] Train batch: 76 / 78
[1/40] Train batch: 77 / 78
[1/40] Train batch: 78 / 78
[1/40] 5.83 sec(s) Train Acc: 0.19675 | Train Loss: 2.19354

[1/40] Train batch: 1 / 78
[1/40] Train batch: 2 / 78
[1/40] Train batch: 3 / 78
[1/40] Train batch: 4 / 78
[1/40] Train batch: 5 / 78
[1/40] Train batch: 6 / 78
[1/40] Train batch: 7 / 78
[1/40] Train batch: 8 / 78
[1/40] Train batch: 9 / 78
[1/40] Train batch: 10 / 78
[1/40] Train batch: 11 / 78
[1/40] Train batch: 12 / 78
[1/40] Train batch: 13 / 78
[1/40] Train batch: 14 / 78
[1/40] Train batch: 15 / 78
[1/40] Train batch: 16 / 78
[1/40] Train batch: 17 / 78
[1/40] Train batch: 18 / 78
[1/40] Train batch: 19 / 78
[1/40] Train batch: 20 / 78
[1/40] 0.66 sec(s) Val Acc: 0.32700 | Val Loss: 1.82868
[1/40] Save best model to ./checkpoint/resnet18_SSL_reinforcement_0417.pth ...

[2/40] Train batch: 1 / 78
[2/40] Train batch: 2 / 78
[2/40] Train batch: 3 / 78
[2/40] Train batch: 4 / 78
[2/40] Train batch: 5 / 78
[2/40] Train batch: 6 / 78
[2/40] Train batch: 7 / 78
[2/40] Train batch: 8 / 78
[2/40] Train batch: 9 / 78
[2/40] Train batch: 10 / 78
[2/40] Train batch: 11 / 78
[2/40] Train batch: 12 / 78
[2/40] Train batch: 13 / 78
[2/40] Train batch: 14 / 78
[2/40] Train batch: 15 / 78
[2/40] Train batch: 16 / 78
[2/40] Train batch: 17 / 78
[2/40] Train batch: 18 / 78
[2/40] Train batch: 19 / 78
[2/40] Train batch: 20 / 78
[2/40] Train batch: 21 / 78
[2/40] Train batch: 22 / 78
[2/40] Train batch: 23 / 78
[2/40] Train batch: 24 / 78
[2/40] Train batch: 25 / 78
[2/40] Train batch: 26 / 78
[2/40] Train batch: 27 / 78
[2/40] Train batch: 28 / 78
[2/40] Train batch: 29 / 78
[2/40] Train batch: 30 / 78
[2/40] Train batch: 31 / 78
[2/40] Train batch: 32 / 78
[2/40] Train batch: 33 / 78
[2/40] Train batch: 34 / 78
[2/40] Train batch: 35 / 78
[2/40] Train batch: 36 / 78
[2/40] Train batch: 37 / 78
[2/40] Train batch: 38 / 78
[2/40] Train batch: 39 / 78
[2/40] Train batch: 40 / 78
[2/40] Train batch: 41 / 78
[2/40] Train batch: 42 / 78
[2/40] Train batch: 43 / 78
[2/40] Train batch: 44 / 78
[2/40] Train batch: 45 / 78
[2/40] Train batch: 46 / 78
[2/40] Train batch: 47 / 78
[2/40] Train batch: 48 / 78
[2/40] Train batch: 49 / 78
[2/40] Train batch: 50 / 78
[2/40] Train batch: 51 / 78
[2/40] Train batch: 52 / 78
[2/40] Train batch: 53 / 78
[2/40] Train batch: 54 / 78
[2/40] Train batch: 55 / 78
[2/40] Train batch: 56 / 78
[2/40] Train batch: 57 / 78
[2/40] Train batch: 58 / 78
[2/40] Train batch: 59 / 78
[2/40] Train batch: 60 / 78
[2/40] Train batch: 61 / 78
[2/40] Train batch: 62 / 78
[2/40] Train batch: 63 / 78
[2/40] Train batch: 64 / 78
[2/40] Train batch: 65 / 78
[2/40] Train batch: 66 / 78
[2/40] Train batch: 67 / 78
[2/40] Train batch: 68 / 78
[2/40] Train batch: 69 / 78
[2/40] Train batch: 70 / 78
[2/40] Train batch: 71 / 78
[2/40] Train batch: 72 / 78
[2/40] Train batch: 73 / 78
[2/40] Train batch: 74 / 78
[2/40] Train batch: 75 / 78
[2/40] Train batch: 76 / 78
[2/40] Train batch: 77 / 78
[2/40] Train batch: 78 / 78
[2/40] 5.95 sec(s) Train Acc: 0.30455 | Train Loss: 1.91014

[2/40] Train batch: 1 / 78
[2/40] Train batch: 2 / 78
[2/40] Train batch: 3 / 78
[2/40] Train batch: 4 / 78
[2/40] Train batch: 5 / 78
[2/40] Train batch: 6 / 78
[2/40] Train batch: 7 / 78
[2/40] Train batch: 8 / 78
[2/40] Train batch: 9 / 78
[2/40] Train batch: 10 / 78
[2/40] Train batch: 11 / 78
[2/40] Train batch: 12 / 78
[2/40] Train batch: 13 / 78
[2/40] Train batch: 14 / 78
[2/40] Train batch: 15 / 78
[2/40] Train batch: 16 / 78
[2/40] Train batch: 17 / 78
[2/40] Train batch: 18 / 78
